uid,area_code,device,datetime,url
00082E3972C9D867ECBAB95926A70B82259FE654D0FFCAB47D,21,android_chrome,2020.03.09 09:47,http://d-datascience.com/detail/10782.html
00082E3972C9D867ECBAB95926A70B82259FE654D0FFCAB47D,21,android_chrome,2020.03.28 19:45,http://d-datascience.com/detail/10782.html
0168C1718A8DC439211312B4E2FF744F263DCBE40FE61556C7,5,pc_chrome,2020.03.03 10:11,http://d-datascience.com/detail/10782.html
017CF626295E911E51E19E556D92A2ACBE994A84124ED0F2CD,1,iphone_safari,2020.03.30 14:55,http://d-datascience.com/detail/10782.html
033F8A5781B5EDB7419888E41CD9AA67D96E645448DF9C9ABD,4,android_chrome,2020.03.27 09:43,http://d-datascience.com/detail/10782.html
033F8A5781B5EDB7419888E41CD9AA67D96E645448DF9C9ABD,4,android_chrome,2020.03.01 13:32,http://d-datascience.com/detail/10782.html
033F8A5781B5EDB7419888E41CD9AA67D96E645448DF9C9ABD,4,android_chrome,2020.03.17 00:38,http://d-datascience.com/detail/10782.html
03EE7C6C4AE9A418C042EC2125E318E587734C4A112A69AF5D,4,iphone_safari,2020.03.09 19:17,http://d-datascience.com/detail/10782.html
041D3B8CF91D42E86482CE73F513C3F3550D8471F9812FA0D2,8,android_chrome,2020.03.29 19:20,http://d-datascience.com/detail/10782.html
058273D85B460438F5ABF7263B279DBAF45265B22656E03425,8,iphone_safari,2020.03.02 16:25,http://d-datascience.com/detail/10782.html
0593865FF6DC6EAE278980CD0F8C005305008438D3CCBDCABD,25,iphone_safari,2020.03.18 00:15,http://d-datascience.com/detail/10782.html
06747AFD3177D250138D00EF18F1980125C4F16F243FA62D8A,1,pc_chrome,2020.03.15 23:56,http://d-datascience.com/detail/10782.html
06747AFD3177D250138D00EF18F1980125C4F16F243FA62D8A,1,pc_chrome,2020.03.08 07:29,http://d-datascience.com/detail/10782.html
06B03DA6CFC150233EE1DBADE53ECA4C39D935493DB4855812,5,pc_chrome,2020.03.18 22:44,http://d-datascience.com/detail/10782.html
06B3D05E4BCC2654B964C839FBB0AECFF89D471CEE09E9804A,7,pc_chrome,2020.03.27 13:27,http://d-datascience.com/detail/10782.html
070D884B9BD2A2DC129EB8298BA02C54D91B76353F7723D3A2,7,android_chrome,2020.03.09 07:46,http://d-datascience.com/detail/10782.html
07A8071FC5E78EC9D147466781DABEE42D55401826DB0E0706,40,iphone_safari,2020.03.21 20:40,http://d-datascience.com/detail/10782.html
07D696CBCD15563585360DF9F378A9C953F5614A3363A4BAA9,1,iphone_safari,2020.03.28 12:36,http://d-datascience.com/detail/10782.html
